0 [138917083256768] INFO perfrun.launcher <> - Launcher main begin
1 [138917083256768] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [138917083256768] INFO perfrun.launcher <> - Launcher instance created
1 [138917083256768] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.4/bin64/advixe-runss --ui-output-format xml --ui-output-fd 199 --context-value-list 
24 [138917083256768] INFO perfrun.launcher <> - create msngr2::ICliToolContext
24 [138917083256768] INFO perfrun.launcher <> - create file finder object
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CATAvailable; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = L3CATDetails; value = COS=16;ways=16
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL2CATAvailable; value = false
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LLCSize; value = 0
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = cacheMonitoringUpscalingFactor; value = 64
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CacheOccupancyAvailable; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3TotalBWAvailable; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3LocalBWAvailable; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
28 [138917083256768] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
